GLOBALID,OBJECTID,TrafficStudyID,Request Number,Traffic Study Type,Associated File,Associated File Link,Main Street Name,Street Name 2,Street Name 3,Street Name 4,Street Name 5,Civic Address,Start Date,Finish Date,Year,Equipment Type,Start Day of Week,Finish Day of Week,AM Peak,PM Peak,Off Peak,Duration,85th Percentile Speed,Warrant Points,AAWT,Add Date,Modified Date,x,y
e8ec7721-14e1-4b71-942f-1de4f1589639,11,TRFSDY15684,24RQ222,SPD,24SPD222.xlsx,https://files.halifax.ca/open-data/documents/traffic_studies/24SPD222.xlsx,CAVENDISH DR,FIRST LAKE DR,CAVALIER DR,,,55,4/4/2024 12:00:00 AM,4/17/2024 12:00:00 AM,2024,RADAR,,,,,,7 DAYS,44,,276,6/25/2024 6:48:02 PM,7/11/2025 12:38:08 PM,-7086772.7119,5586338.2749
7447ec23-85ae-479d-8984-402b32e763f6,12,TRFSDY16109,23RQ1078,SPD,23SPD1078.xlsx,https://files.halifax.ca/open-data/documents/traffic_studies/23SPD1078.xlsx,DUBLIN ST,ALMON ST,CHEBUCTO RD,,,2749,11/3/2023 12:00:00 AM,11/14/2023 12:00:00 AM,2023,RADAR,,,,,,7 DAYS,44,,1261,7/12/2024 11:52:10 AM,7/11/2025 12:38:08 PM,-7080308.0408,5566947.3925
4eb3e829-d74d-450f-bf0c-dd4cf3d9e142,13,TRFSDY3855,16ATR455,VOL,16ATR455.pdf,https://files.halifax.ca/open-data/documents/traffic_studies/16ATR455.pdf,JUBILEE RD,DUNVEGAN DR,PRYOR ST,,,6752,9/21/2016 12:00:00 AM,,2016,RT,,,,,,,,,2050,5/7/2019 12:13:12 PM,7/11/2025 12:38:08 PM,-7080552.4666,5564828.595
f527d52e-1483-47de-8d9f-eeb732daa39d,14,TRFSDY8227,20SPD541,SPD,20SPD541.pdf,https://files.halifax.ca/open-data/documents/traffic_studies/20SPD541.pdf,ALLAN ST,Monastery Ln,Windsor St,,,6191,11/23/2020 12:00:00 AM,11/29/2020 12:00:00 AM,2020,,MON,SUN,,,,24HR,38,,,4/19/2022 5:59:29 PM,7/11/2025 12:38:08 PM,-7079488.904,5566303.267
0cb2babd-28f2-407b-9af5-01678b5a1014,15,TRFSDY15202,23RQ158,CLS,23CLS158FHWA.xlsx,https://files.halifax.ca/open-data/documents/traffic_studies/23CLS158FHWA.xlsx,OAKWOOD AVE,OAKWOOD CRT,VALLEYFIELD CRT,,,14,,6/12/2023 12:00:00 AM,2023,,,,,,,7 DAYS,47,,777,5/24/2024 2:02:44 PM,10/30/2025 2:36:47 PM,-7072812.4737,5571059.8669
bf32b25b-768f-434f-83b0-529196fa894c,16,TRFSDY4316,18VOL309,VOL,18VOL309.pdf,https://files.halifax.ca/open-data/documents/traffic_studies/18VOL309.pdf,BEDFORD HWY,HIGHWAY 102,OAKMOUNT DR,,,1748,9/18/2018 12:00:00 AM,,2018,,,,,,,,,,,5/7/2019 12:13:12 PM,7/11/2025 12:38:08 PM,-7085985.3589,5580601.0708
405bf154-36ff-4caa-8ad0-ecad2fe22ecc,17,TRFSDY8683,21VOL474,VOL,21VOL474.pdf,https://files.halifax.ca/open-data/documents/traffic_studies/21VOL474.pdf,GREGORY DR,FLYING CLOUD DR,WILDWOOD BLVD,,,54,5/20/2021 12:00:00 AM,6/8/2021 12:00:00 AM,2021,ATR,THURS,TUES,,,,,47,0,3819,4/27/2022 5:58:36 PM,7/11/2025 12:38:08 PM,-7068321.3081,5572131.0709
1720589d-5952-429d-a1df-f924079d7ac2,18,TRFSDY15411,24RQ053,VOL,24VOL053.xlsx,https://files.halifax.ca/open-data/documents/traffic_studies/24VOL053.xlsx,GREENHEAD RD,ST MARGARET'S BAY RD,END,,,102,2/7/2024 12:00:00 AM,2/16/2024 12:00:00 AM,2024,RADAR,,,,,,7 DAYS,46,,645,6/25/2024 6:48:02 PM,7/11/2025 12:38:08 PM,-7091264.6176,5564153.3112
383ca6ef-66a0-4403-8df7-10059fba0062,19,TRFSDY8765,21VOL667,VOL,21VOL667.pdf,https://files.halifax.ca/open-data/documents/traffic_studies/21VOL667.pdf,SUMMIT ST,GLADSTONE,SWAINE,,,6461,10/12/2021 12:00:00 AM,10/18/2021 12:00:00 AM,2021,RADAR,TUES,MON,,,,,55,0,298,4/27/2022 5:58:36 PM,7/15/2025 11:33:24 AM,-7080515.0877,5566476.0301
18612b45-e0d7-4be1-a4a0-9e6fb33f34dc,20,TRFSDY5594,16TM499,TMC,16TM499.pdf,https://files.halifax.ca/open-data/documents/traffic_studies/16TM499.pdf,BAYERS RD,ROMANS AVE,,,,,10/20/2016 12:00:00 AM,,2016,,,,Y,Y,Y,,,,,5/7/2019 12:13:59 PM,7/16/2025 2:09:48 PM,-7082357.7833,5567026.4796
42a7bd92-5cfd-4b2b-8358-1f39457d19ca,21,TRFSDY9037,21VOL015,SPD,21VOL015.xlsx,https://files.halifax.ca/open-data/documents/traffic_studies/21VOL015.xlsx,SYLVIA AVE,HERRING COVE RD,END,,,,11/13/2021 12:00:00 AM,11/21/2021 12:00:00 AM,2021,ATR,,,,,,7 DAYS,45,,1395,5/18/2022 6:31:30 PM,7/11/2025 12:38:08 PM,-7080971.497,5559563.9285
8bba531d-bac2-4db9-84fd-626e5acbf192,22,10301,19CLS388,CLS,19CLS388.pdf,https://files.halifax.ca/open-data/documents/traffic_studies/19CLS388.pdf,SOUTH PARK ST,SPRING GARDEN RD,SACKVILLE ST,,,,12/3/2019 4:00:00 AM,,2019,,TUES,,,,,12AM-12AM,,,10543,8/25/2020 1:51:08 AM,7/11/2025 12:38:08 PM,-7077721.0189,5565536.5636
524572ac-23de-4fb9-ab0e-05a95e7a492e,23,TRFSDY7905,20SPD515,SPD,20SPD515.pdf,https://files.halifax.ca/open-data/documents/traffic_studies/20SPD515.pdf,Riley Rd,Cherry Brook Rd,Highway 7,,,115,10/29/2020 12:00:00 AM,11/4/2020 12:00:00 AM,2020,RADAR,THURS,WED,,,,7 DAYS,48,,187,4/19/2022 5:59:29 PM,7/15/2025 11:33:24 AM,-7067100.3755,5575223.4763
4eff0250-b650-4231-a166-6f93564df600,24,TRFSDY16417,23RQ235,VOL,23VOL235.xlsx,https://files.halifax.ca/open-data/documents/traffic_studies/23VOL235.xlsx,HINES RD,AUTOPORT AVE,RAPTOR AVE,,,107,8/7/2023 12:00:00 AM,8/15/2023 12:00:00 AM,2023,RADAR,,,,,,7 DAYS,65,,3623,9/18/2024 11:54:12 AM,7/11/2025 12:38:08 PM,-7069956.0194,5563322.6421
e4b36a0e-39a2-4562-8992-ec105228134a,25,TRFSDY8101,21SPD307,SPD,21SPD307.pdf,https://files.halifax.ca/open-data/documents/traffic_studies/21SPD307.pdf,RAYMOOR DR,STRATH LN,MAIN ST,,,34,4/29/2021 12:00:00 AM,5/13/2021 12:00:00 AM,2021,,THURS,THURS,,,,7 DAYS,54,,,4/19/2022 5:59:29 PM,7/15/2025 11:33:24 AM,-7072693.7524,5572337.7892
9d5fa81e-9368-4141-a4cb-9c26b031ceb6,26,TRFSDY9559,22TMC122,TMC,22TM122.pdf,https://files.halifax.ca/open-data/documents/traffic_studies/22TM122.pdf,DRYSDALE RD,ALABASTER WAY,KATRINA CRES,,,,5/19/2022 12:00:00 AM,5/19/2022 12:00:00 AM,2022,MIOVISION,THURS,THURS,Y,Y,N,,,,,8/12/2022 7:26:39 PM,7/11/2025 12:38:08 PM,-7080543.7749,5560520.0248
4ce42fad-313b-44cd-a0ee-e9a5d2943bb1,27,TRFSDY7975,20VOL523,VOL,20VOL523.pdf,https://files.halifax.ca/open-data/documents/traffic_studies/20VOL523.pdf,Welsford St,Robie,Windsor,,,6039,11/23/2020 12:00:00 AM,11/29/2020 12:00:00 AM,2020,RADAR,MON,SUN,,,,7 DAYS,51,,1054,4/19/2022 5:59:29 PM,7/15/2025 11:33:24 AM,-7079032.2866,5566392.7616
e21f5617-1201-4bce-a486-bddb3e56a58c,28,TRFSDY8395,21SPD046,SPD,21SPD046.pdf,https://files.halifax.ca/open-data/documents/traffic_studies/21SPD046.pdf,RIDGECREST DR,MAIN ST,MT EDWAD RD,,,15,10/3/2021 12:00:00 AM,10/9/2021 12:00:00 AM,2021,RADAR,SUN,SAT,,,,,58,0,4658,4/27/2022 5:58:36 PM,7/11/2025 12:38:08 PM,-7069204.3193,5572930.4973
dfac097c-7774-47a9-a858-0d3b11386d4c,29,TRFSDY14966,23RQ682,VOL,23VOL682.pdf,https://files.halifax.ca/open-data/documents/traffic_studies/23VOL682.pdf,DUKE ST,BRUNSWICK ST,UPPER WATER ST,,,5201,,6/28/2023 12:00:00 AM,2023,,,,,,,24HRS,,,5068,5/24/2024 2:02:44 PM,10/28/2025 5:57:35 PM,-7077258.3548,5566425.2694
ab3697e7-e077-433a-be75-ac57cac9bcc7,30,TRFSDY9810,22TM695a,TMC,22TM695a.pdf,https://files.halifax.ca/open-data/documents/traffic_studies/22TM695a.pdf,MUMFORD RD,ROMANS AVE,,,,,9/17/2022 12:00:00 AM,9/17/2022 12:00:00 AM,2022,MIOVISION,SAT,SAT,N,N,N,7AM-7PM X2,,0,0,4/5/2023 1:45:46 PM,10/30/2025 2:32:17 PM,-7082335.8979,5566381.4054
613b44c8-c60e-4bb1-83d0-65296309234a,31,10468,19VOL073,VOL,19VOL073.pdf,https://files.halifax.ca/open-data/documents/traffic_studies/19VOL073.pdf,HARTLEN AVE,THEAKSTON AVE,HERRING COVE RD,,,80,7/4/2019 3:00:00 AM,7/11/2019 3:00:00 AM,2019,ATR,THURS,THURS,,,,,,,744,8/26/2020 4:26:38 AM,7/11/2025 12:38:08 PM,-7081215.9342,5560507.4624
abaad6a2-2d7e-4709-b09c-1546a2aa5baa,32,TRFSDY9957,22SPD579,SPD,22SPD579.xlsx,https://files.halifax.ca/open-data/documents/traffic_studies/22SPD579.xlsx,DAY AVE,WOODLAWN RD,CLIFFORD DR,,,15,10/25/2022 12:00:00 AM,11/3/2022 12:00:00 AM,2022,RADAR,TUES,THURS,,,,7 DAYS,51,0,835,4/5/2023 1:45:46 PM,7/15/2025 11:33:24 AM,-7071766.3659,5570353.0693
b8ad8732-d7ba-4f92-acf2-29dc0f76973e,33,TRFSDY3789,16ATR224,VOL,16ATR224.pdf,https://files.halifax.ca/open-data/documents/traffic_studies/16ATR224.pdf,VALKYRIE CRES,CRANBERRY CRES,TRILLIUM CRT,,,32,6/14/2016 12:00:00 AM,,2016,RT,,,,,,,,,254,5/7/2019 12:13:12 PM,7/11/2025 12:38:08 PM,-7068917.2273,5571668.1141
cb94b4a6-7aa3-4897-bd59-b9d3296741f9,34,TRFSDY20748,25RQ383,SPD,25SPD383.xlsx,https://files.halifax.ca/open-data/documents/traffic_studies/25SPD383.xlsx,CRESTFIELD DR,HAMMONDS PLAINS RD,END,,,,9/10/2025 12:00:00 AM,9/19/2025 12:00:00 AM,2025,RADAR,,,,,,7 DAYS,49,,369,10/2/2025 3:30:10 PM,10/2/2025 3:30:10 PM,-7095756.8091,5578155.504
91d0ccb0-a832-422e-8b04-cbe4bca054d2,35,10403,19RQ467,VOL,19VOL467.pdf,https://files.halifax.ca/open-data/documents/traffic_studies/19VOL467.pdf,KEARNEY LAKE RD,GROSVENOR LANE,CASTLE HILL DR,,,,11/5/2019 4:00:00 AM,,2019,MIOVISION,TUES,,,,,,,,,8/25/2020 3:24:03 AM,7/11/2025 12:38:08 PM,-7087794.4262,5571759.2724
8826d68d-799b-4dd9-847c-3244b1525044,36,TRFSDY20524,25RQ405,VOL,25VOL405.xlsx,https://files.halifax.ca/open-data/documents/traffic_studies/25VOL405.xlsx,LOCKS RD,WAVERLEY RD,LORWAY DR,,,23,7/10/2025 12:00:00 AM,7/22/2025 12:00:00 AM,2025,RADAR,,,,,,7 DAYS,42,,1679,9/8/2025 11:47:16 AM,9/8/2025 11:47:16 AM,-7074448.0031,5574296.8474
c579d513-9b31-4ea2-afae-7205b896af01,37,TRFSDY8493,22SPD024,SPD,22SPD024.xlsx,https://files.halifax.ca/open-data/documents/traffic_studies/22SPD024.xlsx,CROOKED STICK PASS,SOUTH OF LAUREL RIDGE,,,,273,3/31/2022 12:00:00 AM,4/8/2022 12:00:00 AM,2022,RADAR,THURS,FRI,,,,,64,0,215,4/27/2022 5:58:36 PM,7/11/2025 12:38:08 PM,-7087274.4398,5595397.7198
741c272e-ca59-476e-b95f-b31ed60b4eab,38,TRFSDY10170,23SPD238,SPD,23SPD238.xlsx,https://files.halifax.ca/open-data/documents/traffic_studies/23SPD238.xlsx,FERGUSONS COVE RD,PURCELLS COVE RD,PURCELLS COVE RD,,,151,2/28/2023 12:00:00 AM,3/8/2023 12:00:00 AM,2023,RADAR,TUES,WED,,,,7 DAYS,35,,111,6/1/2023 9:26:45 AM,7/11/2025 12:38:08 PM,-7075106.486,5559190.5215
c6dc31c8-b869-4eee-b615-e671dc7ee7ef,39,TRFSDY3957,17ATR163,VOL,17ATR163.pdf,https://files.halifax.ca/open-data/documents/traffic_studies/17ATR163.pdf,BAKER DR,COLDSTREAM RUN,NORM NEWMAN DR,,,,5/25/2017 12:00:00 AM,,2017,RT,,,,,,,,,14041,5/7/2019 12:13:12 PM,7/11/2025 12:38:08 PM,-7072250.6077,5569347.3324
438d34f4-b58e-4a0b-9cfe-f241fd031ca7,40,TRFSDY4434,18RQ510,LTI,18LTI510.pdf,https://files.halifax.ca/open-data/documents/traffic_studies/18LTI510.pdf,WINDSOR ST,YOUNG ST,,,,,12/12/2018 12:00:00 AM,,2018,,,,N,Y,N,,,,,5/7/2019 12:13:12 PM,7/16/2025 4:45:55 PM,-7080717.3372,5567642.5652
bf289823-a70b-4617-8342-5a80066befa8,41,TRFSDY6450,14PED016,PED,14PED016.pdf,https://files.halifax.ca/open-data/documents/traffic_studies/14PED016.pdf,CALDWELL RD,COW BAY RD,,,,,5/15/2014 12:00:00 AM,,2014,,,,Y,N,N,,,,,5/7/2019 12:13:59 PM,7/11/2025 12:38:08 PM,-7065819.5,5560635.2987
901b4ca9-d0b1-472d-8540-492072809dea,42,TRFSDY8155,21SPD382,SPD,21SPD382.xlsx,https://files.halifax.ca/open-data/documents/traffic_studies/21SPD382.xlsx,GEORGE SAMUEL DR,KINGSWOOD DR,ST GEORGE BLVD,,,39,4/6/2021 12:00:00 AM,4/15/2021 12:00:00 AM,2021,,TUES,THURS,,,,7 DAYS,62,,,4/19/2022 5:59:29 PM,7/11/2025 12:38:08 PM,-7097847.6952,5575433.8053
8fd2e187-cd5d-46c3-a3db-c73911fb11a8,43,TRFSDY16239,24RQ083,CLS,24CLS083.pdf,https://files.halifax.ca/open-data/documents/traffic_studies/24CLS083.pdf,AVENUE DU PORTAGE,CALEDONIA RD,END,,,154,4/2/2024 12:00:00 AM,4/2/2024 12:00:00 AM,2024,,TUES,,,,,24 HOURS,,,1865,7/12/2024 11:52:10 AM,7/11/2025 12:38:08 PM,-7072578.6936,5574725.0037
6d102732-c806-4aa2-84ac-ab9605e1f3a6,44,TRFSDY4078,17ATR440,VOL,17ATR440.pdf,https://files.halifax.ca/open-data/documents/traffic_studies/17ATR440.pdf,DOYLE ST,DOYLE CRT,HAMMONDS PLAINS RD,,,74,10/18/2017 12:00:00 AM,,2017,RT,,,,,,,,,573,5/7/2019 12:13:12 PM,7/11/2025 12:38:08 PM,-7088703.1708,5577259.9338
80de4fa8-ac10-4a83-9d91-93584da8f538,45,10298,19TM347,TMC,19TM347.pdf,https://files.halifax.ca/open-data/documents/traffic_studies/19TM347.pdf,BRUNSWICK ST,PORTLAND PL,,,,,9/5/2019 3:00:00 AM,,2019,MIOVISION,THURS,,Y,Y,N,,,,,8/25/2020 1:39:10 AM,7/11/2025 12:38:08 PM,-7077765.8405,5566940.4419
2891d8e0-0d9a-4a76-a357-ee19a3eff2d6,46,TRFSDY8697,21VOL810,VOL,21VOL810.xlsx,https://files.halifax.ca/open-data/documents/traffic_studies/21VOL810.xlsx,ARKLOW DR,ALMORA CRT,JOHN STEWART DR,,,498,9/18/2021 12:00:00 AM,9/27/2021 12:00:00 AM,2021,RADAR,SAT,MON,,,,,52,0,1286,4/27/2022 5:58:36 PM,7/11/2025 12:38:08 PM,-7066849.2317,5570866.7572
110bf5ad-4ce8-4eda-bfbf-c44a2a0cb05b,47,TRFSDY5542,16TM400,TMC,16TM400.pdf,https://files.halifax.ca/open-data/documents/traffic_studies/16TM400.pdf,LACEWOOD DR,PARKLAND DR,REGENCY PARK DR,,,,11/8/2016 12:00:00 AM,,2016,,,,Y,Y,N,,,,,5/7/2019 12:13:59 PM,8/26/2025 3:55:41 PM,-7087652.2886,5567976.5301
ce83d2f4-314b-4341-9f20-209e6518602d,48,TRFSDY6319,15PED017,PED,15PED017.pdf,https://files.halifax.ca/open-data/documents/traffic_studies/15PED017.pdf,FAIRFAX DR,LACEWOOD DR,,,,368,8/10/2015 12:00:00 AM,,2015,,,,Y,Y,Y,,,,,5/7/2019 12:13:59 PM,7/17/2025 2:44:06 PM,-7087850.9008,5567938.7196
c78c085e-76c8-4124-af3c-586e96880096,49,TRFSDY4037,17ATR291,VOL,17ATR291.pdf,https://files.halifax.ca/open-data/documents/traffic_studies/17ATR291.pdf,TRANSOM DR,MASTHEAD CRT,MERCHANT CRT,,,194,8/24/2017 12:00:00 AM,,2017,,,,,,,,,,344,5/7/2019 12:13:12 PM,7/11/2025 12:38:08 PM,-7088839.9933,5573284.4759
0308c336-03d0-4465-ba98-8563d6c76e67,50,TRFSDY5766,17TM346,TMC,17TM346.pdf,https://files.halifax.ca/open-data/documents/traffic_studies/17TM346.pdf,ALMON ST,WINDSOR ST,,,,,11/16/2017 12:00:00 AM,,2017,,,,N,N,Y,,,,,5/7/2019 12:13:59 PM,7/16/2025 4:47:40 PM,-7080221.8791,5567255.3411
2c3a3a25-c4cd-4d81-8a66-8e1d566699e6,51,TRFSDY16031,23RQ572,SPD,23SPD572.pdf,https://files.halifax.ca/open-data/documents/traffic_studies/23SPD572.pdf,CARLHEATH DR,BURROWS DR,END,,,75,6/21/2023 12:00:00 AM,6/27/2023 12:00:00 AM,2023,,,,,,,7 DAYS,44,,341,7/12/2024 11:52:10 AM,7/11/2025 12:38:08 PM,-7080959.3508,5599003.2088
15eea123-1635-4838-8371-8c2a47e996ab,52,TRFSDY9069,21VOL332,SPD,21VOL332.xlsx,https://files.halifax.ca/open-data/documents/traffic_studies/21VOL332.xlsx,MONARCH DR (N),MAJESTIC AVE,AMEDEE DE,,,,12/2/2021 12:00:00 AM,12/8/2021 12:00:00 AM,2021,ATR,,,,,,6 DAYS,46,,1131,5/18/2022 6:31:30 PM,7/11/2025 12:38:08 PM,-7088905.1183,5591739.8373
453f6ea3-e33b-4ac5-962f-a45bdac81583,53,TRFSDY6720,17PED226,PED,17PED226.pdf,https://files.halifax.ca/open-data/documents/traffic_studies/17PED226.pdf,AUBURN DR,HILLSBORO DR,,,,,11/22/2017 12:00:00 AM,,2017,,,,Y,Y,Y,,,,,5/7/2019 12:14:12 PM,7/11/2025 12:38:08 PM,-7067840.1914,5573281.0007
5073cf32-e5d6-4af8-8b1d-32cf5b5972ca,54,TRFSDY9800,22TM663,TMC,22TM663.pdf,https://files.halifax.ca/open-data/documents/traffic_studies/22TM663.pdf,HAMMONDS PLAINS RD,ROCKCLIFFE CRES,,,,,10/20/2022 12:00:00 AM,10/20/2022 12:00:00 AM,2022,MIOVISION,THURS,THURS,N,N,N,7AM-7PM,,0,0,4/5/2023 1:45:46 PM,7/11/2025 12:38:08 PM,-7106054.9226,5576585.171
ca9a2209-3b09-4b4f-971d-4124743b2977,55,TRFSDY16011,23RQ480,SPD,23SPD480.xlsx,https://files.halifax.ca/open-data/documents/traffic_studies/23SPD480.xlsx,CRESTVIEW DR,GLENORA AVE,BRYDEN AVE,,,21,9/1/2023 12:00:00 AM,9/22/2023 12:00:00 AM,2023,RADAR,,,,,,7 DAYS,43,,285,7/12/2024 11:52:10 AM,7/11/2025 12:38:08 PM,-7081639.0702,5562727.966
5a2e406a-23c2-4c91-9dde-f9162549365d,56,TRFSDY16668,24RQ512,VOL,24VOL512.xlsx,https://files.halifax.ca/open-data/documents/traffic_studies/24VOL512.xlsx,LAKERIDGE CRES,ASTRAL DR,ASTRAL DR,,,72,8/2/2024 12:00:00 AM,8/15/2024 12:00:00 AM,2024,RADAR,,,,,,7 DAYS,49,,389,10/11/2024 12:30:14 PM,7/11/2025 12:38:08 PM,-7065034.7138,5566318.1755
5770eb57-a6ea-4d83-aa73-62f076b6a662,57,TRFSDY7133,19SPD623,SPD,19SPD623.xlsx,https://files.halifax.ca/open-data/documents/traffic_studies/19SPD623.xlsx,VERNON ST,JUBILEE RD,WATT ST,,,1683,1/21/2020 12:00:00 AM,1/31/2020 12:00:00 AM,2019,RADAR,TUES,FRI,,,,7 DAYS,47,,1177,3/15/2021 4:45:51 PM,7/11/2025 12:38:08 PM,-7078955.1339,5565394.4582
9f5df948-7f85-4492-96be-ee4139e4af64,58,TRFSDY9125,21SPD017,SPD,21SPD017.pdf,https://files.halifax.ca/open-data/documents/traffic_studies/21SPD017.pdf,WATERLOO ST,SOUTH ST,OAKLAND RD,,,1162,11/16/2021 12:00:00 AM,11/23/2021 12:00:00 AM,2021,RADAR,,,,,,7 DAYS,38,,452,5/18/2022 6:31:30 PM,7/11/2025 12:38:08 PM,-7078494.3261,5564295.253
81a87b41-8e83-45d0-afe3-9ff01ae63e55,59,TRFSDY22009,17RQ471,SPD,17SPD471a.pdf,https://files.halifax.ca/open-data/documents/traffic_studies/17SPD471a.pdf,KARELS DR,JAMIESON DR,MARANATHA DR,,,60,11/8/2017 12:00:00 AM,11/21/2017 12:00:00 AM,2017,RADAR,,,,,,7 DAYS,67,,962,12/3/2025 3:41:55 PM,12/3/2025 3:41:55 PM,-7082305.4758,5592862.7343
2e26f883-0485-4884-b91a-d6cd5375a1e1,60,TRFSDY6418,14PED013,PED,14PED013.pdf,https://files.halifax.ca/open-data/documents/traffic_studies/14PED013.pdf,HOLLIS ST,PRINCE ST,,,,,5/14/2014 12:00:00 AM,,2014,,,,Y,Y,N,,,,,5/7/2019 12:13:59 PM,7/16/2025 12:01:45 PM,-7076892.0809,5566206.553
f5a8d3ff-76a7-4d2f-ad8e-f96811bcde93,61,TRFSDY20057,24RQ620,VOL,24VOL620.xlsx,https://files.halifax.ca/open-data/documents/traffic_studies/24VOL620.xlsx,PORTLAND ST,WOODLAWN RD,HIGHWAY 111,,,,11/28/2024 12:00:00 AM,11/28/2024 12:00:00 AM,2024,RADAR,THURS,,,,,24 HOURS,,,45822,7/23/2025 12:25:53 PM,7/23/2025 12:36:28 PM,-7072352.3865,5569871.0901
